user,risk,z_rule,z_lm,z_sim,z_peer,rule,lm,sim,peer,len,is_malicious,scenario,rank
CCA0046,0.842975070884161,0.8664453430040375,0.5312798496817458,0.9648258859657344,0.9928966150317554,592.8053976020185,6.277378410753788,1.1797554940459951,202.38590414805626,7469,True,3,1
MPM0220,0.7905792318292598,0.8676898256066498,0.3326654153822955,0.907880874040563,1.0,593.6568488909048,5.000343519891152,1.1137571795549464,203.83381419986353,15985,True,3,3
BSS0369,0.7477609505598326,0.8164029403921752,0.4236173593813977,1.0,0.5765086835112199,558.5673390599379,5.585138911466373,1.2205217027356685,117.5119638794339,11999,True,3,6
GTD0219,0.7449610299674068,0.7153287680543579,0.496132981394527,0.976832904851358,0.7692980016927914,489.4143158440978,6.051393943584293,1.1936714277111713,156.80894594137473,4494,True,3,7
MOS0047,0.6860991250029939,0.6438277026467669,0.5690453853254775,0.9475144476327721,0.5192023664733237,440.49464901207546,6.520200171716281,1.159691827137073,105.83099869985291,6976,True,2,10
MCF0600,0.5655560542910054,0.4006430470492837,0.3431172830968494,0.9590851135068862,0.6460273365013369,274.11234040348245,5.0675460864782425,1.1731020349746637,131.68221607644622,1032,True,1,15
EHD0584,0.5218410682283849,0.41398666547656654,0.5353660061070834,0.6958187307087422,0.5014567875943736,283.2417899309158,6.303651246074565,0.8679807093410061,102.21384967177198,889,True,1,22
MAR0955,0.4658092522281606,0.39081373237594,0.12486079566293341,0.7926568045911456,0.5756493266494099,267.38731055580087,3.6642183243579614,0.9802144140805287,117.33679789253237,1080,True,1,33
BTL0226,0.45969243576416186,0.2664217559708572,0.5337331554259811,0.6877529622184809,0.49625907824001725,182.28069000931313,6.293152475938893,0.8586326188334168,101.1543807489712,3117,True,1,34
LJR0523,0.4549152765335248,0.3780577673082956,0.3961942999875455,0.5943586518948443,0.5057576442599093,258.65992226203383,5.408816360773266,0.7503901783451506,103.09050969023504,840,True,1,36
WDD0366,0.44590088444340226,0.24009910542593674,0.36849423521340213,0.8069329033800933,0.49619446256882566,164.2712339620113,5.2307127434782466,0.9967601733265947,101.14120989025514,5910,True,1,39
EHB0824,0.44455710706596624,0.3232993444038383,0.3074460833913334,0.6862767136067682,0.5478598281631478,221.1952524775659,4.83819031591933,0.8569216714326011,111.67235842137623,584,True,1,41
AAM0658,0.44424273216299537,0.27946201097506407,0.6810627842870423,0.5331028356760819,0.41979774664360525,191.20258406185528,7.240440507531563,0.6793957139217489,85.56897589087401,1179,True,1,42
RHL0992,0.42480429709549977,0.1378199245398631,0.8385013706289611,0.6200549811096745,0.3130820525089576,94.29376685328093,8.25272628945812,0.7801717932654251,63.816708920422776,3358,True,2,49
CAH0936,0.4174001884402219,0.24150289790693713,0.44171566315191607,0.6522637213257723,0.4625997754374718,165.23168203478292,5.701505908970375,0.8175011833959569,94.29347667542022,2555,True,1,52
BDV0168,0.3921295874590859,0.2515208463055194,0.20158729324050398,0.6885166766269207,0.527164140880314,172.0857714837355,4.157548100745298,0.8595177510338594,107.45387754502862,3463,True,1,60
RGG0064,0.3855839748566202,0.22593950633167306,0.46170056565779694,0.5324627866680735,0.46501575016915453,154.58350600694163,5.830003205153891,0.6786539078479222,94.7859340199896,2582,True,1,65
JTM0223,0.3788033022258304,0.07389630026519643,0.4479539185355094,0.7167753394102354,0.5364010904006076,50.558440891549445,5.741616134649891,0.8922690676183643,109.33668019732164,2878,True,3,69
CQW0652,0.37678229819442044,0.09968986054356338,0.7432638011668797,0.5563450151365938,0.3277822663964711,68.20590345782664,7.640375532812391,0.7063330104053802,66.81310958666846,4084,True,2,71
MYD0978,0.3747939952994769,0.23725040638522527,0.24128418839710358,0.6285593740361559,0.4966476770461804,162.32220834705157,4.4127879595838655,0.7900282421437731,101.23359032582496,4141,True,1,72
JGT0221,0.3714944897102062,0.128251573794974,0.27048559007643624,0.742289860869122,0.5368285130643259,87.74728355399552,4.600544750464325,0.9218399703963803,109.42380338914282,3193,True,3,73
FMG0527,0.3673744894716361,0.23620254631759935,0.32718248101644964,0.5757002677532597,0.4235460520199434,161.60528245087608,4.965089795688317,0.7287654238172343,86.33300727251887,1388,True,1,76
RAB0589,0.36671136864301207,0.19667130114598813,0.635893218819208,0.3732823094592759,0.4502908470397082,134.55875758825624,6.950012919471373,0.49416640243715193,91.78450085139104,910,True,1,77
KPC0073,0.36362201255031057,0.200278205691746,0.38304909466271864,0.5644135509126319,0.438650157419403,137.0265329656935,5.324296391685583,0.7156843081508084,89.41173468616748,1688,True,1,78
JRG0207,0.35296867182788105,0.17804508737368036,0.1747493073179045,0.7036255076359783,0.4726293233722229,121.81505696101235,3.98498740773964,0.8770286329674378,96.3378376856609,4493,True,1,81
RKD0604,0.35037672527786307,0.20324936732146745,0.09804717768990866,0.7057419013077009,0.4868804498957944,139.05934515109948,3.4918143104070536,0.87948149776474,99.24269916160532,2587,True,1,83
